23,8,0,14,3,0|23,0,0,14,3,0
23,0,0,14,3,0|23,0,0,14,3,0
23,0,0,14,3,0|23,0,0,15,0,0
23,0,0,15,0,0|12,0,0,4,0,0
62,24,0,6,0,0|62,0,0,6,0,0
62,0,0,6,0,0|12,0,0,6,0,0
62,23,0,10,0,0|62,0,0,10,0,0
62,0,0,10,0,0|12,0,0,10,0,0
45,14,0,1,0,0|45,0,0,1,0,0
45,0,0,1,0,0|12,0,0,1,0,0
37,28,0,6,0,0|37,0,0,6,0,0
37,0,0,6,0,0|12,0,0,6,0,0
29,13,0,4,0,0|29,0,0,4,0,0
29,0,0,4,0,0|12,0,0,4,0,0
25,18,0,17,3,0|25,0,0,17,3,0
25,0,0,17,3,0|23,0,0,17,3,0
23,0,0,17,3,0|23,0,0,18,0,0
23,0,0,18,0,0|12,0,0,7,0,0
35,15,0,6,0,0|35,0,0,6,0,0
35,0,0,6,0,0|12,0,0,6,0,0
57,37,0,9,0,0|57,0,0,9,0,0
57,0,0,9,0,0|12,0,0,9,0,0
50,34,0,10,0,0|50,0,0,10,0,0
50,0,0,10,0,0|12,0,0,10,0,0
42,17,0,2,0,0|42,0,0,2,0,0
42,0,0,2,0,0|12,0,0,2,0,0
32,4,0,19,8,0|32,0,0,19,8,0
32,0,0,19,8,0|23,0,0,19,8,0
23,0,0,19,8,0|23,0,0,20,0,0
23,0,0,20,0,0|12,0,0,9,0,0
65,13,0,1,0,0|65,0,0,1,0,0
65,0,0,1,0,0|12,0,0,1,0,0
23,18,0,12,7,0|23,18,0,13,0,0
23,18,0,13,0,0|23,0,0,13,0,0
23,0,0,13,0,0|23,0,0,13,0,0
23,0,0,13,0,0|12,0,0,2,0,0
63,19,0,1,0,0|63,0,0,1,0,0
63,0,0,1,0,0|12,0,0,1,0,0
54,39,0,8,0,0|54,0,0,8,0,0
54,0,0,8,0,0|12,0,0,8,0,0
42,20,0,8,0,0|42,0,0,8,0,0
42,0,0,8,0,0|12,0,0,8,0,0
25,14,0,14,4,0|25,0,0,14,4,0
25,0,0,14,4,0|23,0,0,14,4,0
23,0,0,14,4,0|23,0,0,15,0,0
23,0,0,15,0,0|12,0,0,4,0,0
31,8,0,15,8,0|31,0,0,15,8,0
31,0,0,15,8,0|23,0,0,15,8,0
23,0,0,15,8,0|23,0,0,16,0,0
23,0,0,16,0,0|12,0,0,5,0,0
45,15,0,5,0,0|45,0,0,5,0,0
45,0,0,5,0,0|12,0,0,5,0,0
65,20,0,8,0,0|65,0,0,8,0,0
65,0,0,8,0,0|12,0,0,8,0,0
35,14,0,1,0,0|35,0,0,1,0,0
35,0,0,1,0,0|12,0,0,1,0,0
64,27,0,6,0,0|64,0,0,6,0,0
64,0,0,6,0,0|12,0,0,6,0,0
32,15,0,14,6,0|32,0,0,14,6,0
32,0,0,14,6,0|23,0,0,14,6,0
23,0,0,14,6,0|23,0,0,15,0,0
23,0,0,15,0,0|12,0,0,4,0,0
54,18,0,9,0,0|54,0,0,9,0,0
54,0,0,9,0,0|12,0,0,9,0,0
25,4,0,13,3,0|25,4,0,14,0,0
25,4,0,14,0,0|25,0,0,14,0,0
25,0,0,14,0,0|23,0,0,14,0,0
23,0,0,14,0,0|12,0,0,3,0,0
31,8,0,12,8,0|31,0,0,12,8,0
31,0,0,12,8,0|23,0,0,12,8,0
23,0,0,12,8,0|23,0,0,13,0,0
23,0,0,13,0,0|12,0,0,2,0,0
45,18,0,10,0,0|45,0,0,10,0,0
45,0,0,10,0,0|12,0,0,10,0,0
63,27,0,9,0,0|63,0,0,9,0,0
63,0,0,9,0,0|12,0,0,9,0,0
62,27,0,7,0,0|62,0,0,7,0,0
62,0,0,7,0,0|12,0,0,7,0,0
25,15,0,17,3,0|25,15,0,18,0,0
25,15,0,18,0,0|25,0,0,18,0,0
25,0,0,18,0,0|23,0,0,18,0,0
23,0,0,18,0,0|12,0,0,7,0,0
57,16,0,3,0,0|57,0,0,3,0,0
57,0,0,3,0,0|12,0,0,3,0,0
62,37,0,3,0,0|62,0,0,3,0,0
62,0,0,3,0,0|12,0,0,3,0,0
31,8,0,14,1,0|31,0,0,14,1,0
31,0,0,14,1,0|23,0,0,14,1,0
23,0,0,14,1,0|23,0,0,15,0,0
23,0,0,15,0,0|12,0,0,4,0,0
37,28,0,9,0,0|37,0,0,9,0,0
37,0,0,9,0,0|12,0,0,9,0,0
63,17,0,9,0,0|63,0,0,9,0,0
63,0,0,9,0,0|12,0,0,9,0,0
29,20,0,4,0,0|29,0,0,4,0,0
29,0,0,4,0,0|12,0,0,4,0,0
24,18,0,2,0,0|24,0,0,2,0,0
24,0,0,2,0,0|12,0,0,2,0,0
50,41,0,6,0,0|50,0,0,6,0,0
50,0,0,6,0,0|12,0,0,6,0,0
40,15,0,7,0,0|40,0,0,7,0,0
40,0,0,7,0,0|12,0,0,7,0,0
25,8,0,14,1,0|25,0,0,14,1,0
25,0,0,14,1,0|23,0,0,14,1,0
23,0,0,14,1,0|23,0,0,15,0,0
23,0,0,15,0,0|12,0,0,4,0,0
47,42,0,3,0,0|47,0,0,3,0,0
47,0,0,3,0,0|12,0,0,3,0,0
36,17,0,7,0,0|36,0,0,7,0,0
36,0,0,7,0,0|12,0,0,7,0,0
31,15,0,17,8,0|31,15,0,18,0,0
31,15,0,18,0,0|31,0,0,18,0,0
31,0,0,18,0,0|23,0,0,18,0,0
23,0,0,18,0,0|12,0,0,7,0,0
23,14,0,13,1,0|23,0,0,13,1,0
23,0,0,13,1,0|23,0,0,13,1,0
23,0,0,13,1,0|23,0,0,14,0,0
23,0,0,14,0,0|12,0,0,3,0,0
51,41,0,8,0,0|51,0,0,8,0,0
51,0,0,8,0,0|12,0,0,8,0,0
60,32,0,9,0,0|60,0,0,9,0,0
60,0,0,9,0,0|12,0,0,9,0,0
63,16,0,3,0,0|63,0,0,3,0,0
63,0,0,3,0,0|12,0,0,3,0,0
63,54,0,6,0,0|63,0,0,6,0,0
63,0,0,6,0,0|12,0,0,6,0,0
42,15,0,8,0,0|42,0,0,8,0,0
42,0,0,8,0,0|12,0,0,8,0,0
23,7,0,19,1,0|23,0,0,19,1,0
23,0,0,19,1,0|23,0,0,19,1,0
23,0,0,19,1,0|23,0,0,20,0,0
23,0,0,20,0,0|12,0,0,9,0,0
42,31,0,5,0,0|42,0,0,5,0,0
42,0,0,5,0,0|12,0,0,5,0,0
62,53,0,4,0,0|62,0,0,4,0,0
62,0,0,4,0,0|12,0,0,4,0,0
41,21,0,1,0,0|41,0,0,1,0,0
41,0,0,1,0,0|12,0,0,1,0,0
38,21,0,8,0,0|38,0,0,8,0,0
38,0,0,8,0,0|12,0,0,8,0,0
31,18,0,14,8,0|31,18,0,15,0,0
31,18,0,15,0,0|31,0,0,15,0,0
31,0,0,15,0,0|23,0,0,15,0,0
23,0,0,15,0,0|12,0,0,4,0,0
45,42,0,1,0,0|45,0,0,1,0,0
45,0,0,1,0,0|12,0,0,1,0,0
52,15,0,1,0,0|52,0,0,1,0,0
52,0,0,1,0,0|12,0,0,1,0,0
38,30,0,7,0,0|38,0,0,7,0,0
38,0,0,7,0,0|12,0,0,7,0,0
28,14,0,8,0,0|28,0,0,8,0,0
28,0,0,8,0,0|12,0,0,8,0,0
53,25,0,9,0,0|53,0,0,9,0,0
53,0,0,9,0,0|12,0,0,9,0,0
23,3,0,19,5,0|23,3,0,20,0,0
23,3,0,20,0,0|23,0,0,20,0,0
23,0,0,20,0,0|23,0,0,20,0,0
23,0,0,20,0,0|12,0,0,9,0,0
61,32,0,2,0,0|61,0,0,2,0,0
61,0,0,2,0,0|12,0,0,2,0,0
62,35,0,10,0,0|62,0,0,10,0,0
62,0,0,10,0,0|12,0,0,10,0,0
37,24,0,10,0,0|37,0,0,10,0,0
37,0,0,10,0,0|12,0,0,10,0,0
30,13,0,3,0,0|30,0,0,3,0,0
30,0,0,3,0,0|12,0,0,3,0,0
62,46,0,2,0,0|62,0,0,2,0,0
62,0,0,2,0,0|12,0,0,2,0,0
62,13,0,3,0,0|62,0,0,3,0,0
62,0,0,3,0,0|12,0,0,3,0,0
23,3,0,19,8,0|23,0,0,19,8,0
23,0,0,19,8,0|23,0,0,19,8,0
23,0,0,19,8,0|23,0,0,20,0,0
